"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"NOOF","New Frontier Media, Inc.","1.65","26713500","n/a","n/a","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/noof",
"NHTB","New Hampshire Thrift Bancshares, Inc.","12.7","74104500","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/nhtb",
"HAVNP","New York Community Bancorp, Inc.","11.2","24640000","n/a","n/a","Finance","Banks","http://www.nasdaq.com/symbol/havnp",
"NYMT","New York Mortgage Trust, Inc.","6.88","97524000","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/nymt",
"NBBC","NewBridge Bancorp","4.17","65285520","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/nbbc",
"NEWL","NewLead Holdings Ltd.","1.3183","26273719","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/newl",
"NLNK","NewLink Genetics Corporation","16.91","349563520","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/nlnk",
"NFSB","Newport Bancorp, Inc.","13.45","47155700","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/nfsb",
"NEWP","Newport Corporation","11.96","456991600","n/a","n/a","Capital Goods","Medical Specialities","http://www.nasdaq.com/symbol/newp",
"NWS","News Corporation","20.28","16194005880","n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/nws",
"NWSA","News Corporation","20.085","32599300695","n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/nwsa",
"NEWS","NewStar Financial, Inc.","12.27","604358850","n/a","2006","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/news",
"NEWT","Newtek Business Services Inc.","1.19","42801920","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/newt",
